# ATLAS_2016_I1458270
# mass_1000021         mass_1000022           2jl                    2jm                    2jt                    4jt                    5j                     6jm                    6jt                    
1.326916e+03           6.349641e+02           2.19e-01               2.04e-01               4.54e-02               5.17e-02               1.12e-01               5.55e-02               3.91e-02               
1.310854e+03           1.224576e+03           1.40e-02               1.87e-02               3.50e-03               9.00e-04               1.50e-03               1.00e-03               7.00e-04               
1.705124e+03           8.313705e+02           3.50e-01               3.83e-01               1.54e-01               1.36e-01               1.78e-01               9.67e-02               9.19e-02               
2.279548e+03           3.143554e+02           4.07e-01               4.93e-01               2.78e-01               3.04e-01               1.79e-01               1.04e-01               1.39e-01               
1.848991e+03           2.496588e+02           3.65e-01               4.30e-01               2.29e-01               2.78e-01               1.71e-01               1.01e-01               1.34e-01               
1.362097e+03           1.370286e+02           2.60e-01               3.01e-01               1.17e-01               1.66e-01               1.42e-01               8.13e-02               9.84e-02               
2.600970e+02           2.088462e+02           0.00e+00               1.04e-03               0.00e+00               0.00e+00               0.00e+00               0.00e+00               0.00e+00               
8.198845e+02           2.035610e+02           9.69e-02               6.18e-02               5.40e-03               1.13e-02               4.17e-02               2.49e-02               1.22e-02               
1.129316e+03           8.084790e+02           3.75e-02               3.01e-02               5.30e-03               4.60e-03               1.49e-02               1.09e-02               4.50e-03               
1.776978e+03           3.869522e+01           3.20e-01               3.79e-01               1.93e-01               2.58e-01               1.57e-01               9.49e-02               1.29e-01               
1.019237e+03           5.392620e+02           1.00e-01               5.85e-02               6.80e-03               9.70e-03               3.56e-02               2.29e-02               1.11e-02               
1.919458e+03           6.203610e+01           3.45e-01               4.09e-01               2.20e-01               2.66e-01               1.63e-01               9.53e-02               1.28e-01               
1.206912e+03           1.976436e+01           2.19e-01               2.44e-01               7.82e-02               1.16e-01               1.18e-01               6.57e-02               7.53e-02               
1.723534e+03           2.923075e+02           3.53e-01               4.16e-01               2.14e-01               2.56e-01               1.67e-01               9.62e-02               1.25e-01               
2.221088e+03           5.833226e+02           4.31e-01               5.07e-01               3.03e-01               3.15e-01               1.96e-01               1.12e-01               1.45e-01               
7.454479e+02           2.910469e+02           3.93e-02               2.24e-02               2.50e-03               4.10e-03               1.58e-02               1.03e-02               4.70e-03               
